step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,45,216.0,1.0,8.162078939811739,3,11.0,0.6580580725561614,2,34.0,0.5984428610599312,7,46.0,0.38205845604354505,0,4.0,0.47175219442820127,3,39.0,0.5066050635323691,0,4.0,0.7009708109769965,3,47.0,0.6310364727038632,0,4.0,0.8881069280730122,1,5.0,0.6734095349502024,6,30.0,0.33430496876693905,5,41.0,0.476513272240041,1,13.0,0.36061171307001455,8,50.0,0.389061172907134,0,4.0,0.8933669440280113,5,19.0,0.5953547011167925,1,10.0,0.5692924465762252,45,361.0
110.0,46,237.0,1.0440528634361232,7.123121671184746,1,7.0,0.5729343971203839,3,17.0,0.6813949644573396,1,44.0,0.5706959505212782,5,21.0,0.27520422802824257,4,25.0,0.6009429214726973,0,4.0,0.5442251361936254,4,65.0,0.2992503302861876,2,7.0,0.5933305571655294,3,13.0,0.6251990829235651,6,60.0,0.43191917818495473,3,38.0,0.31028312022311566,3,16.0,0.08428728182825516,4,57.0,0.3494651181973653,1,3.0,0.5132411049997568,0,18.0,0.47230910120827374,6,25.0,0.3102016594542742,46,420.0
115.0,37,201.0,0.8481012658227848,7.58870811534508,3,14.0,0.6452158825262847,4,26.0,0.5369749726857661,1,12.0,0.21943431254395068,0,24.0,0.7147140147291785,5,44.0,0.46711043375379036,0,1.0,0.5857227746256636,3,48.0,0.179415457966647,0,10.0,0.3097472866597724,0,11.0,0.7565467558271803,0,51.0,0.4888025006473179,2,19.0,0.6586621873387234,0,17.0,0.5811760596338326,7,56.0,0.2612261366276426,2,14.0,0.6991214418065064,3,11.0,0.45819538149823774,7,65.0,0.39783517500187243,37,423.0
120.0,22,123.0,0.5301724137931034,8.208946714737028,1,9.0,0.6066565529721883,0,21.0,0.3471747578248012,0,8.0,0.19982680488987037,0,4.0,0.7091474953806255,2,39.0,0.2987098939735604,2,4.0,0.48613464025402386,3,26.0,0.5420246730387545,0,4.0,0.5468176490711584,1,5.0,0.6030027587643048,1,5.0,0.5991202501625292,2,23.0,0.7143722236155304,0,8.0,0.8030718901736922,8,70.0,0.40054356293071575,0,4.0,0.7917525847472497,1,16.0,0.3876735960179108,1,59.0,0.5980710042444565,22,305.0
125.0,34,217.0,0.9041666666666667,8.577368468372669,2,8.0,0.6639003584745439,2,13.0,0.7211255824440683,0,4.0,0.7982182350908812,4,11.0,0.2948341576159943,1,12.0,0.6907636152848757,0,7.0,0.535965229774205,3,41.0,0.71313353750321,0,4.0,0.8275054040990616,6,27.0,0.2802828904938198,1,5.0,0.5803044460843669,0,1.0,0.5495859224718491,2,10.0,0.6473820361525406,8,110.0,0.35231183204079375,2,10.0,0.6830424745215882,3,19.0,0.3896653032240186,0,15.0,0.5560277418694184,34,297.0
130.0,42,222.0,0.921161825726141,8.080292652578494,0,3.0,0.6934356960858813,2,23.0,0.7878507896378143,1,7.0,0.7825237263632606,8,50.0,0.04772455165936375,2,8.0,0.6397323842687739,0,2.0,0.9091171063541995,3,54.0,0.6607763870420856,2,4.0,0.5575432782421741,6,44.0,0.3207549812690338,1,14.0,0.6674426087965593,1,3.0,0.5788631094748684,7,34.0,0.43245350760414014,6,112.0,0.11419366125151284,1,5.0,0.5268861415504009,0,17.0,0.6492561618492791,2,6.0,0.31904646517149104,42,386.0
135.0,40,198.0,0.8389830508474576,8.053722876442784,2,5.0,0.6146109014976632,0,4.0,0.5258256880427813,1,10.0,0.7856612661649566,2,58.0,0.5142947340018703,5,26.0,0.42712531918459207,0,2.0,0.5580025565570617,2,27.0,0.24537703193002602,2,18.0,0.5841273794645677,2,32.0,0.44425691227763214,1,19.0,0.7968437464650815,4,17.0,0.5790573659495827,11,78.0,0.2793196789494018,0,59.0,0.25593158384970816,7,24.0,0.43758910800400475,0,4.0,0.8322801298268635,1,11.0,0.6124826537922906,40,394.0
140.0,34,212.0,0.9098712446351931,8.489531882227192,1,4.0,0.5773085806816012,2,9.0,0.47567447567698545,0,4.0,0.7284926728195212,0,21.0,0.7845435288843443,3,30.0,0.3774316161292646,0,6.0,0.7971215110881017,2,11.0,0.6281339357876393,2,28.0,0.6757102832517635,4,28.0,0.5402776791974339,1,24.0,0.8330072282441375,0,17.0,0.667363709472198,6,94.0,0.13451311337398278,0,8.0,0.5075533814956709,9,64.0,0.3687480787113539,2,5.0,0.5811182749997227,2,14.0,0.7406450522742035,34,367.0
145.0,44,241.0,1.0126050420168067,7.964636327610791,3,14.0,0.6695882935775195,2,9.0,0.5698381185377168,5,15.0,0.522438927888181,3,28.0,0.602486425385112,2,14.0,0.6895705010731422,0,8.0,0.8741156401585684,1,5.0,0.681233705209557,2,38.0,0.6427386034449815,6,54.0,0.5106150986534675,1,5.0,0.5868892229682828,1,5.0,0.5355538223353459,4,76.0,0.42002738049818816,2,13.0,0.5340049378671636,4,74.0,0.23142190263142606,5,22.0,0.4119339960706754,3,26.0,0.22967688401336778,44,406.0
150.0,43,228.0,0.9539748953974896,7.262219725298452,0,7.0,0.5709682217346933,3,22.0,0.6641953697032441,2,25.0,0.3230804937126441,5,53.0,0.23560990291267533,3,7.0,0.5981912414523871,0,4.0,0.8862261456550358,2,15.0,0.614368418555342,4,57.0,0.3883278709559729,3,54.0,0.3122793890913503,3,16.0,0.4989435459774222,2,9.0,0.3597125797784307,5,50.0,0.612388759886761,4,33.0,0.6381592943960563,4,47.0,0.1970864039506202,0,22.0,0.3968730758059055,3,23.0,0.1421963646351364,43,444.0
155.0,41,191.0,0.7764227642276422,7.667952585558325,3,9.0,0.6054861715365215,1,17.0,0.38662063631892996,7,27.0,0.36090654225707147,1,40.0,0.46652098732549147,5,29.0,0.43965430407257766,1,6.0,0.4006580679515477,4,29.0,0.23180634827564184,2,35.0,0.5439427790490825,6,33.0,0.31153071625934353,2,12.0,0.3473934340464048,3,21.0,0.6318232088238123,0,39.0,0.6136515891793666,4,51.0,0.6182535520211361,1,29.0,0.5119738915435776,0,4.0,0.7674466377733316,1,16.0,0.6377943015792444,41,397.0
160.0,33,175.0,0.708502024291498,8.212843160283827,4,28.0,0.5813231895236927,2,10.0,0.526549038933231,2,43.0,0.5225781302449383,0,8.0,0.8319473225803568,4,35.0,0.30921491357732894,0,6.0,0.1548882309321498,1,24.0,0.26139634605566475,0,15.0,0.5844110488159004,7,62.0,0.5136430047271804,5,27.0,0.43211271663197115,0,13.0,0.68699685959522,3,16.0,0.27833637387494836,1,31.0,0.5362068134576844,2,25.0,0.7561290584606412,1,7.0,0.7240703914442604,1,16.0,0.8270838718993894,33,366.0
165.0,31,116.0,0.48132780082987553,7.859233705626976,1,22.0,0.5005510776718455,2,8.0,0.42008398107117656,2,16.0,0.6376147052751917,2,12.0,0.677021446688234,3,25.0,0.5259951504546524,2,14.0,0.6104925854460309,0,9.0,0.8417230217996674,5,20.0,0.35255003179561184,2,64.0,0.5288718642275886,0,28.0,0.44930158694911154,1,5.0,0.5462370700933454,3,30.0,0.3489013303989819,5,23.0,0.45139361911573783,0,5.0,0.6308811730797703,3,17.0,0.46412344105292636,0,4.0,0.6901743797907557,31,302.0
170.0,55,263.0,1.0647773279352226,7.64982199024108,2,9.0,0.6807822858905298,2,19.0,0.7055820128582743,7,31.0,0.43254955847504784,4,27.0,0.0661462791528686,3,20.0,0.5740633392056055,2,24.0,0.7728401480290692,0,6.0,0.8730746271876406,9,59.0,0.18148591321526497,2,28.0,0.4646528810481331,2,11.0,0.7071448082984843,2,9.0,0.2973107519729977,6,44.0,0.5499523231434209,2,31.0,0.3961489965664005,2,12.0,0.34995472512683207,6,46.0,0.3366448754685329,4,15.0,0.2646529026519945,55,391.0
